,index,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,arms,arm1,arm2,arm1_included,arm2_included,arm1_to_remove,arm2_to_remove,also_arm1_to_remove,also_arm2_to_remove,new_arm1,new_arm2,arm1_has_approved_drugs,arm2_has_approved_drugs
221,864,865,NCT01871480,CIK Cell Transfusion Plus Gefitinib As Second Or Third-Line Treatment for Advanced Adenocarcinoma Non-Small Cell Lung Cancer,,Terminated,No Results Available,Non-Small Cell Lung Cancer,Drug: Group A:cytokine-induced killer cell +gefitinib|Drug: Group B:Gefitinib,Progression-free survival|Overall survival,Kunming Medical University,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 2,50.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CIK plus gefitinib,May 2013,November 2015,May 2016,"June 6, 2013",,"December 30, 2013","Department of Cancer Biotherapy Center, The Third Affiliated Hospital of Kunming Medicine University, Kunming, Yunnan, China",,https://ClinicalTrials.gov/show/NCT01871480,2,group a:cytokine-induced killer cell +gefitinib,group b:gefitinib,1,1,False,False,False,False,group a:cytokine-induced killer cell +gefitinib,group b:gefitinib,1,1
226,903,904,NCT00231465,Phase II Study of Docetaxel + ZD1839 in Elderly Patients With Non-Small Cell Lung Cancer,,Completed,Has Results,Non-Small Cell Lung Cancer,Drug: docetaxel (Taxotere®)|Drug: ZD1839,Overall Response Rate (ORR)|Progression Free Survival (PFS) Rate|Overall Survival (OS) Rate,H. Lee Moffitt Cancer Center and Research Institute|AstraZeneca,All,70 Years and older   (Older Adult),Phase 2,44.0,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MCC-12905|1839US/0205,July 2003,August 2012,August 2012,"October 4, 2005","November 30, 2012","March 3, 2017","H. Lee Moffitt Cancer Center & Research Institute, Tampa, Florida, United States",,https://ClinicalTrials.gov/show/NCT00231465,2,docetaxel (taxotere®),zd1839,1,1,False,False,False,False,docetaxel (taxotere®),iressa,1,1
231,920,921,NCT00881296,Gemcitabine and Carboplatin for Elderly Patient With Lung Cancer,GEEP,Completed,No Results Available,Non-Small Cell Lung Cancer,Drug: gemcitabine and carboplatin|Drug: Gemcitabine,Efficacy (response rate)|The toxicity profile (adverse event profile),Hamamatsu University,All,76 Years and older   (Older Adult),Phase 2,60.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Hamamatsu 20-34,March 2008,March 2011,June 2011,"April 15, 2009",,"September 7, 2011","Hamamatsu University School of Medicine, Hamamatsu, Shizuoka, Japan",,https://ClinicalTrials.gov/show/NCT00881296,2,gemcitabine and carboplatin,gemcitabine,1,1,False,False,False,False,gemcitabine and carboplatin,gemcitabine,1,1
233,925,926,NCT01749072,Vinorelbine-ifosfamide Versus Gefitinib for EGFR Gene Mutation Negative Non-small Cell Lung Cancer Patients,,Unknown status,No Results Available,Non-small Cell Lung Cancer|Effects of Chemotherapy,"Drug: Gefitinib group|Drug: Vinorelbine, Ifosfamide, Mesna",Progression free survival|Overall survival|objective response rate|the score of functional assessment of cancer treatment-lung (FACT-L)|Number of participants with adverse events,Peking Union Medical College Hospital,All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 2,120.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,PUMCH-S464,December 2012,December 2016,December 2017,"December 13, 2012",,"December 13, 2012","Department of Respiratory Medicine, Peking Union Medical College Hospital, Beijing, Beijing, China",,https://ClinicalTrials.gov/show/NCT01749072,2,gefitinib group,"vinorelbine, ifosfamide, mesna",1,1,False,False,False,False,gefitinib group,"vinorelbine, ifosfamide, mesna",1,1
256,1079,1080,NCT00004096,Carboplatin Plus Vinorelbine in Treating Patients With Stage IIIB or Stage IV Non-small Cell Lung Cancer,,Completed,No Results Available,Lung Cancer,Drug: carboplatin|Drug: vinorelbine ditartrate,,Northwestern University|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,,Other|NIH,Interventional,Primary Purpose: Treatment,NU 99L2|NU-99L2|NCI-G99-1589,August 1999,March 2002,March 2002,"August 5, 2004",,"June 6, 2012","Robert H. Lurie Comprehensive Cancer Center, Northwestern University, Chicago, Illinois, United States",,https://ClinicalTrials.gov/show/NCT00004096,2,carboplatin,vinorelbine ditartrate,1,1,False,False,False,False,carboplatin,vinorelbine ditartrate,1,1
262,1103,1104,NCT00004159,Gemcitabine Plus Paclitaxel in Treating Patients With Advanced Non-small Cell Lung Cancer or Other Solid Tumor,,Terminated,No Results Available,Lung Cancer,Drug: gemcitabine hydrochloride|Drug: paclitaxel,,University of Alabama at Birmingham|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,54.0,Other|NIH,Interventional,Primary Purpose: Treatment,CDR0000067399|UAB-9720|UAB-F970730006|NCI-G99-1624,February 2000,February 2000,February 2000,"July 26, 2004",,"November 20, 2013","University of Alabama Comprehensive Cancer Center, Birmingham, Alabama, United States",,https://ClinicalTrials.gov/show/NCT00004159,2,gemcitabine hydrochloride,paclitaxel,1,1,False,False,False,False,gemcitabine hydrochloride,paclitaxel,1,1
264,1124,1125,NCT00003447,Vinorelbine and/or Gemcitabine in Treating Older Patients With Stage IIIB or Stage IV Non-small Cell Lung Cancer,,Unknown status,No Results Available,Lung Cancer,Drug: gemcitabine hydrochloride|Drug: vinorelbine tartrate,,Istituto Nazionale per lo Studio e la Cura dei Tumori|National Cancer Institute (NCI),All,70 Years and older   (Older Adult),Phase 3,630.0,Other,Interventional,Allocation: Randomized|Primary Purpose: Treatment,CDR0000066476|ITA-MILES|ITA-GOCSI-MILES|EU-98019,July 1998,,,"May 21, 2004",,"December 19, 2013","Istituto Nazionale per lo Studio e la Cura dei Tumori, Naples, Italy",,https://ClinicalTrials.gov/show/NCT00003447,2,gemcitabine hydrochloride,vinorelbine tartrate,1,1,False,False,False,False,gemcitabine hydrochloride,vinorelbine tartrate,1,1
272,1167,1168,NCT00022646,Pemetrexed Disodium Plus Gemcitabine in Treating Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer,,Completed,No Results Available,Lung Cancer,Drug: gemcitabine hydrochloride|Drug: pemetrexed disodium,tumor response rate|duration of response|time to treatment failure|survival|time to disease progression,Alliance for Clinical Trials in Oncology|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 2,157.0,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NCCTG-N0026|NCI-2012-02399|CDR0000068838,August 2001,November 2003,October 2008,"January 27, 2003",,"December 7, 2016","CCOP - Scottsdale Oncology Program, Scottsdale, Arizona, United States|Mayo Clinic, Jacksonville, Florida, United States|CCOP - Illinois Oncology Research Association, Peoria, Illinois, United States|CCOP - Carle Cancer Center, Urbana, Illinois, United States|CCOP - Cedar Rapids Oncology Project, Cedar Rapids, Iowa, United States|CCOP - Iowa Oncology Research Association, Des Moines, Iowa, United States|Siouxland Hematology-Oncology, Sioux City, Iowa, United States|CCOP - Wichita, Wichita, Kansas, United States|CCOP - Ann Arbor Regional, Ann Arbor, Michigan, United States|CCOP - Duluth, Duluth, Minnesota, United States|Mayo Clinic Cancer Center, Rochester, Minnesota, United States|CentraCare Health Plaza, Saint Cloud, Minnesota, United States|CCOP - Metro-Minnesota, Saint Louis Park, Minnesota, United States|CCOP - Missouri Valley Cancer Consortium, Omaha, Nebraska, United States|Medcenter One Health System, Bismarck, North Dakota, United States|CCOP - Merit Care Hospital, Fargo, North Dakota, United States|Altru Health Systems, Grand Forks, North Dakota, United States|CCOP - Toledo Community Hospital, Toledo, Ohio, United States|CCOP - Geisinger Clinic and Medical Center, Danville, Pennsylvania, United States|Allegheny General Hospital, Pittsburgh, Pennsylvania, United States|Rapid City Regional Hospital, Rapid City, South Dakota, United States|CCOP - Sioux Community Cancer Consortium, Sioux Falls, South Dakota, United States",,https://ClinicalTrials.gov/show/NCT00022646,2,gemcitabine hydrochloride,pemetrexed disodium,1,1,False,False,False,False,gemcitabine hydrochloride,pemetrexed disodium,1,1
275,1189,1190,NCT00095225,A Study to Evaluate Bevacizumab and Chemotherapy or Tarceva in Treating Recurrent or Refractory NSCLC (Non-Small Cell Lung Cancer),,Completed,No Results Available,"Non-Small-Cell Lung Carcinoma|Neoplasm Recurrence, Local",Drug: Avastin (bevacizumab)|Drug: Tarceva (erlotinib HCl),To evaluate the safety and preliminary efficacy of combining bevacizumab with chemotherapy or Tarceva relative to chemotherapy alone on patients with previously treated advanced non-small cell lung cancer.,"Genentech, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 2,122.0,Industry,Interventional,Primary Purpose: Treatment,OSI2950g,July 2004,,November 2006,"November 2, 2004",,"January 29, 2008","Comprehensive Blood and Cancer Center (TORI), Bakersfield, California, United States|Bay Area Cancer Research Group, Concord, California, United States|Virginia K. Crosson Cancer Center (TORI), Fullerton, California, United States|California Cancer Center, Inc, Greenbrae, California, United States|Wilshire Oncology Medical Group (TORI), Laverne, California, United States|Pacific Shores Medical Group (TORI), Long Beach, California, United States|UCLA Medical Center PVUB 3360, Los Angeles, California, United States|Central Hematology Oncology Medical Group (TORI), Monterey Park, California, United States|North Valley Hematology/Oncology Medical Group (TORI), Northridge, California, United States|Ventura County Hematology-Oncology Specialists (TORI), Oxnard, California, United States|Cancer Care Associates Medical Group (TORI), Redondo Beach, California, United States|UC Davis Cancer Center, Sacramento, California, United States|Kaiser Permanente/ San Diego, San Diego, California, United States|Sansum Santa Barbara Medical Foundation Clinic (TORI), Santa Barbara, California, United States|Santa Barbara Hematology Oncology Medical Group, Inc (TORI), Santa Barbara, California, United States|Kaiser Permanente Northern CA, Vallejo, California, United States|San Diego Cancer Center Medical Group (TORI), Vista, California, United States|Comprehensive Cancer Care Specialist at Boca Raton, Boca Raton, Florida, United States|Florida Cancer Specialists, Fort Myers, Florida, United States|The Florida Cancer Institute(TORI), Orlando, Florida, United States|MD Anderson Cancer Ctr- Orlando, Orlando, Florida, United States|Hematology and Oncology of Northeast Georgia, PC (TORI), Athens, Georgia, United States|Medical Oncology Associates, PC (TORI), Augusta, Georgia, United States|Suburban Hematology-Oncology Associates (TORI), Lawrenceville, Georgia, United States|WellStar Cancer Research Office, Marietta, Georgia, United States|Atlanta Cancer Care (TORI), Roswell, Georgia, United States|Rush-Presbyteriam, Chicago, Illinois, United States|University of Chicago, Chicago, Illinois, United States|Loyola Univ. Medical Center, Maywood, Illinois, United States|Hematology Oncology Consultants, Naperville, Illinois, United States|Oncoloy Hematology Associates of Central Illinois, PC (TORI), Peoria, Illinois, United States|Norton Healthcare Louisville Oncology, Louisville, Kentucky, United States|Ochsner Cancer Inst., New Orleans, Louisiana, United States|Maine Center for Cancer Medicine and Blood Disorders, Scarborough, Maine, United States|Methodist Cancer Center-Oncology Research, Omaha, Nebraska, United States|Comprehensive Cancer Centers of Nevada (TORI), Las Vegas, Nevada, United States|Summit Medical Group Overlook Oncology Center, Summit, New Jersey, United States|Cancer Research of Long Island, Great Neck, New York, United States|Northwestern Carolina Oncology and Hematology, Hickory, North Carolina, United States|Mid Dakota Clinic, Bismarck, North Dakota, United States|Earle A. Chiles Research Institute, Portland, Oregon, United States|Kaiser Permanente Northwest Region, Portland, Oregon, United States|Univ. of Pittsburgh Cancer Center Inst., Pittsburgh, Pennsylvania, United States|University of Tenn. Cancer Ins, Memphis, Tennessee, United States|The West Cancer Clinic, Memphis, Tennessee, United States|M.D. Anderson, Houston, Texas, United States|Virginia Mason Medical Center, Seattle, Washington, United States|Internal Medicine Associates of Yakima, Yakima, Washington, United States",,https://ClinicalTrials.gov/show/NCT00095225,2,avastin (bevacizumab),tarceva (erlotinib hcl),1,1,False,False,False,False,avastin (bevacizumab),tarceva (erlotinib hcl),1,1
283,1222,1223,NCT00003762,Docetaxel and Gemcitabine in Treating Patients With Stage IIIB or Stage IV Non-small Cell Lung Cancer,,Completed,No Results Available,Lung Cancer,Drug: docetaxel|Drug: gemcitabine hydrochloride,response rate|quality of life,Alliance for Clinical Trials in Oncology|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 2,106.0,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NCCTG-982452|NCI-2012-02294|CDR0000066887,February 1999,February 2003,May 2008,"June 24, 2004",,"July 13, 2016","CCOP - Scottsdale Oncology Program, Scottsdale, Arizona, United States|CCOP - Carle Cancer Center, Urbana, Illinois, United States|CCOP - Cedar Rapids Oncology Project, Cedar Rapids, Iowa, United States|CCOP - Iowa Oncology Research Association, Des Moines, Iowa, United States|Siouxland Hematology-Oncology, Sioux City, Iowa, United States|CCOP - Wichita, Wichita, Kansas, United States|CCOP - Ann Arbor Regional, Ann Arbor, Michigan, United States|CCOP - Duluth, Duluth, Minnesota, United States|Mayo Clinic Cancer Center, Rochester, Minnesota, United States|CentraCare Clinic, Saint Cloud, Minnesota, United States|CCOP - Metro-Minnesota, Saint Louis Park, Minnesota, United States|CCOP - Missouri Valley Cancer Consortium, Omaha, Nebraska, United States|Quain & Ramstad Clinic, P.C., Bismarck, North Dakota, United States|CCOP - Merit Care Hospital, Fargo, North Dakota, United States|Altru Health Systems, Grand Forks, North Dakota, United States|CCOP - Geisinger Clinical and Medical Center, Danville, Pennsylvania, United States|Rapid City Regional Hospital, Rapid City, South Dakota, United States",,https://ClinicalTrials.gov/show/NCT00003762,2,docetaxel,gemcitabine hydrochloride,1,1,False,False,False,False,docetaxel,gemcitabine hydrochloride,1,1
287,1240,1241,NCT00407550,Pemetrexed Disodium and Gemcitabine in Treating Patients With Stage IIIB or Stage IV Non-Small Cell Lung Cancer,,Completed,Has Results,Lung Cancer,Drug: gemcitabine HCL|Drug: pemetrexed disodium,Number of Patients With Confirmed Responses|Progression-free Survival|Overall Survival|Adverse Event,Mayo Clinic|National Cancer Institute (NCI),All,"18 Years to 120 Years   (Adult, Older Adult)",Phase 2,19.0,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CDR0000516012|P30CA015083|RC0524|06-002282|H3E-US-S061,November 2006,January 2008,"May 12, 2010","December 5, 2006","June 13, 2012","May 2, 2019","Mayo Clinic Cancer Center, Rochester, Minnesota, United States",,https://ClinicalTrials.gov/show/NCT00407550,2,gemcitabine hcl,pemetrexed disodium,1,1,False,False,False,False,gemcitabine hcl,pemetrexed disodium,1,1
293,1255,1256,NCT00054184,Polyglutamate Paclitaxel Compared With Docetaxel in Treating Patients With Progressive Non-Small Cell Lung Cancer,,Unknown status,No Results Available,Lung Cancer,Drug: docetaxel|Drug: paclitaxel poliglumex,Saftey|Efficacy,CTI BioPharma,All,"18 Years and older   (Adult, Older Adult)",Phase 3,350.0,Industry,Interventional,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CTI-PGT302|CDR0000269907|CWRU-CTI-1503,January 2003,December 2013,,"February 6, 2003",,"July 30, 2013","Clinical Research Consultants, Incorporated, Hoover, Alabama, United States|Arizona Clinical Research Center, Tucson, Arizona, United States|Highlands Oncology Group - Springdale, Springdale, Arkansas, United States|Pacific Cancer Medical Center, Incorporated, Anaheim, California, United States|Synergy Hematology/Oncology Medical Associates, Encino, California, United States|California Cancer Care, Inc., Greenbrae, California, United States|California Hematology/Oncology Medical Group, Torrance, California, United States|Northwest Oncology and Hematology Associates, Coral Springs, Florida, United States|Florida Oncology Associates, Jacksonville, Florida, United States|Hematology Oncology Associates of theTreasure Coast - Port St. Lucie, Port Saint Lucie, Florida, United States|Suburban Hematology-Oncology, Snellville, Georgia, United States|Gross Point Medical Center, Skokie, Illinois, United States|Western Kentucky Hematology/Oncology Group, Paducah, Kentucky, United States|Kentucky Cancer Clinic, Pikeville, Kentucky, United States|Saint Joseph Oncology, Incorporated, Saint Joseph, Missouri, United States|Montana Cancer Specialists, Missoula, Montana, United States|Las Vegas Cancer Center, Las Vegas, Nevada, United States|Howell, New Jersey, United States|Morristown Memorial Hospital, Morristown, New Jersey, United States|New Mexico Oncology-Hematology Consultants, Limited, Albuquerque, New Mexico, United States|Queens Medical Associates, PC, Fresh Meadows, New York, United States|Piedmont Oncology Specialist, II, PLLC, Monroe, North Carolina, United States|Odyssey Research Services, Bismarck, North Dakota, United States|Gabrail Cancer Center - Canton Office, Canton, Ohio, United States|Ireland Cancer Center, Cleveland, Ohio, United States|Pennsylvania Oncology Hematology Associates, Philadelphia, Pennsylvania, United States|Charleston Hematology-Oncology, P.A., Charleston, South Carolina, United States|Tri County Oncology Associates, Rock Hill, South Carolina, United States|Santee Hematology Oncology, Sumter, South Carolina, United States|Family Cancer Center, Collierville, Tennessee, United States|Southwest Regional Cancer Center, Austin, Texas, United States|Richardson, Texas, United States|Danville Hematology and Oncology, Incorporated, Danville, Virginia, United States|Virginia Oncology Care P.C., Richlands, Virginia, United States|Western Washington Medical Group, Everett, Washington, United States",,https://ClinicalTrials.gov/show/NCT00054184,2,docetaxel,paclitaxel poliglumex,1,1,False,False,False,False,docetaxel,paclitaxel poliglumex,1,1
306,1302,1303,NCT01303926,Quality of Life Comparison in Advanced Non-squamous Non Small Cell Lung Cancer,ERACLE,Unknown status,No Results Available,Non-squamous Nonsmall Cell Neoplasm of Lung,Drug: cisplatin pemetrexed|Drug: carboplatin paclitaxel bevacizumab,Difference in terms of quality of life (QOL) between treatment arms|treatment activity in terms of response rate|toxicity evaluation|Evaluation of QoL across time,Gruppo Oncologico Italia Meridionale,All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 3,118.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Goim 2903|2009-015807-19,January 2010,June 2012,June 2012,"February 25, 2011",,"April 10, 2012","""Giovanni Paolo II"" Oncology Institute, Bari, BA, Italy|""San Paolo Hospital"" Oncology Service, Bari, BA, Italy|Division of Medical Oncology, ""Fatebenefratelli"" Hospital, Benevento, BN, Italy|Division of Medical Oncology, ""Sen. Perrino"" Hospital, Brindisi, Italy, Brindisi, BR, Italy|7 Division of Medical Oncology, ""Casa Sollievo della Sofferenza"" Hospital,, San Giovanni Rotondo, FG, Italy|Medical Oncology Division ""Vito Fazzi"" Hospital, Lecce, Le, Italy|Division of Medical Oncology, ""Buccheri-La Ferla"" Hospital, Palermo, PA, Italy|Division of Medical Oncology, ""La Maddalena"" Hospital, Palermo, PA, Italy|Division of Medical Oncology, Castellaneta Hospital, Castellaneta, TA, Italy|Division of Medical Oncology ""San Giuseppe Moscati Hospital"", Taranto, TA, Italy|Clinical Trials Office, Department of Medical Sciences, Azienda ULSS 13, Mirano, VE, Italy|National Cancer Institute ""G. Pascale"" Thoracic Dept., Napoli, Italy",,https://ClinicalTrials.gov/show/NCT01303926,2,cisplatin pemetrexed,carboplatin paclitaxel bevacizumab,1,1,False,False,False,False,cisplatin pemetrexed,carboplatin paclitaxel bevacizumab,1,1
