,index,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,arms,arm1,arm2,arm1_included,arm2_included,arm1_to_remove,arm2_to_remove,also_arm1_to_remove,also_arm2_to_remove,new_arm1,new_arm2,arm1_has_approved_drugs,arm2_has_approved_drugs,Included,Reason
162,640,641,NCT00441922,Trial of Docetaxel Versus Vinorelbine as 1st Line Treatment in Elderly Patients With Non-Small-Cell Lung Cancer (NSCLC),,Completed,No Results Available,Non Small Cell Lung Cancer,Drug: Docetaxel|Drug: Vinorelbine,Overall survival between the two treatment arms|Time to disease progression|Toxicity profile,Hellenic Oncology Research Group|University Hospital of Crete,All,65 Years to 80 Years   (Older Adult),Phase 3,166,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CT/03.07,3-Jan,8-Jan,8-Jan,1-Mar-07,,29-Oct-08,"University General Hospital of Alexandroupolis, Department of Medical Oncology, Alexandroupolis, Greece|401 Military Hospital of Athens, Athens, Greece|Air Forces Military Hospital of Athens, Athens, Greece|IASO General Hospital of Athens, 1st Department of Medical Oncology, Athens, Greece|Laikon General Hospital, Medical Oncology Unit, Propedeutic Department of Internal Medicine, Athens, Greece|Sismanogleio General Hospital, 1st, 2nd Department of Pulmonary Diseases, Athens, Greece|Sotiria General Hospital, 1st, 3rd, 8th Department of Pulmonary Diseases, Athens, Greece|State General Hospital of Larissa, Department of Medical Oncology, Larissa, Greece|Metaxa's Anticancer Hospital of Piraeus, 1st Department of Medical Oncology, Piraeus, Greece|Theagenion Anticancer Hospital of Thessaloniki, Thessaloniki, Greece",,https://ClinicalTrials.gov/show/NCT00441922,2,docetaxel,vinorelbine,1,1,FALSE,FALSE,FALSE,FALSE,docetaxel,vinorelbine,1,1,TRUE,
165,645,646,NCT01121575,A Study Of Combined C- MET Inhibitor And PAN-HER Inhibitor (PF-02341066 And PF-00299804) In Patients With Non- Small Cell Lung Cancer,,Completed,Has Results,Non Small Cell Lung Cancer,Drug: PF-02341066|Drug: PF-00299804,"Overview of Treatment-emergent All Causalities Adverse Events (AEs) in Escalation Phase|Overview of Treatment-emergent All Causalities AEs in Expansion Phase|Overview of Treatment-emergent, Treatment-related AEs in Escalation Phase|Overview of Treatment-emergent, Treatment-related AEs in Expansion Phase|Number of Participants With Dose Limiting Toxicities (DLTs) in Escalation Phase|Number of Participants With Stable Disease and Stable Disease Duration in Escalation Phase|Number of Participants With Stable Disease and Stable Disease Duration in Expansion Phase|Number of Participants With Objective Response Rate (ORR) in Escalation Phase|Number of Participants With ORR in Expansion Phase|Duration of Response for the Only Participant Shown Partial Response in Expansion Phase|Progression Free Survival (PFS) in Escalation Phase|Progression Free Survival (PFS) in Expansion Phase|Expression Analysis of Tumor Biomarkers (HGF, EGFR, and c-Met ) at Baseline Using Immunohistochemistry (IHC) Method|Expression Analysis of Tumor Biomarkers (EGFR, and c-Met) at Baseline Using Fluorescent in Situ Hybridization (FISH) Method|Number of Participants With c-Met, HER2, EGFR Amplification and ALK Rearrangement at Baseline Using FISH Method|Plasma Concentration of sMet by Study Visits|Number of Participants With EGFR Mutation at Baseline|Number of Participants With KRAS Mutation (GLY12CYS) at Baseline|Number of Participants With PIK3CA Mutation at Baseline|Number of Participants With ROS1 Gene Translocation at Baseline|Plasma Crizotinib and PF-06260182 Pharmacokinetic Parameter in Escalation Phase - Area Under the Plasma Concentration-time Profile From Time Zero to the Last Quantifiable Concentration (AUClast)|Plasma Crizotinib and PF-06260182 Pharmacokinetic Parameter in Escalation Phase - Area Under the Plasma Concentration-time Curve 10 (AUC10)|Plasma Crizotinib and PF-06260182 Pharmacokinetic Parameter in Escalation Phase - Maximum Plasma Concentration (Cmax)|Plasma Crizotinib and PF-06260182 Pharmacokinetic Parameter in Escalation Phase - Time of Last Quantifiable Concentration (Tlast)|Plasma Crizotinib and PF-06260182 Pharmacokinetic Parameter in Escalation Phase -Time to Maximum Plasma Concentration (Tmax)|Plasma Dacomitinib and PF-05199265 Pharmacokinetic Parameter in Escalation Phase - AUClast|Plasma Dacomitinib and PF-05199265 Pharmacokinetic Parameter in Escalation Phase - AUC24|Plasma Dacomitinib and PF-05199265 Pharmacokinetic Parameter in Escalation Phase - Cmax|Plasma Dacomitinib and PF-05199265 Pharmacokinetic Parameter in Escalation Phase - Tlast|Plasma Dacomitinib and PF-05199265 Pharmacokinetic Parameter in Escalation Phase - Tmax|Plasma Crizotinib and PF-06260182 Pharmacokinetic Parameter in Expansion Cohort 1 With or Without Co-administration of Dacomitinib - AUClast|Plasma Crizotinib and PF-06260182 Pharmacokinetic Parameter in Expansion Cohort 1 With or Without Co-administration of Dacomitinib - AUC10|Plasma Crizotinib and PF-06260182 Pharmacokinetic Parameter in Expansion Cohort 1 With or Without Co-administration of Dacomitinib - Cmin|Plasma Crizotinib and PF-06260182 Pharmacokinetic Parameter in Expansion Cohort 1 With or Without Co-administration of Dacomitinib - Cmax|Plasma Crizotinib and PF-06260182 Pharmacokinetic Parameter in Expansion Cohort 1 With or Without Co-administration of Dacomitinib - Tlast|Plasma Crizotinib and PF-06260182 Pharmacokinetic Parameter in Expansion Cohort 1 With or Without Co-administration of Dacomitinib - Tmax|Plasma Dacomitinib and PF-05199265 Pharmacokinetic Parameter in Expansion Cohort 2 With or Without Co-administration of Dacomitinib - AUClast|Plasma Dacomitinib and PF-05199265 Pharmacokinetic Parameter in Expansion Cohort 2 With or Without Co-administration of Dacomitinib - AUC24|Plasma Dacomitinib and PF-05199265 Pharmacokinetic Parameter in Expansion Cohort 2 With or Without Co-administration of Dacomitinib - Cmin|Plasma Dacomitinib and PF-05199265 Pharmacokinetic Parameter in Expansion Cohort 2 With or Without Co-administration of Dacomitinib - Cmax|Plasma Dacomitinib and PF-05199265 Pharmacokinetic Parameter in Expansion Cohort 2 With or Without Co-administration of Dacomitinib - Tlast|Plasma Dacomitinib and PF-05199265 Pharmacokinetic Parameter in Expansion Cohort 2 With or Without Co-administration of Dacomitinib - Tmax",Pfizer,All,"18 Years and older   (Adult, Older Adult)",Phase 1,70,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,A8081006,10-Aug,14-Feb,14-Feb,12-May-10,30-Mar-15,28-Oct-15,"Clinical Trials Office University of Colorado Hospital (CTO), Aurora, Colorado, United States|DRUG SHIPMENT: University of Colorado Cancer Center, Aurora, Colorado, United States|Rocky Mountain Lions Eye Institute, Aurora, Colorado, United States|University of Colorado Hospital, Aurora, Colorado, United States|CCR, National Cancer Institute, Bethesda, Maryland, United States|Drug Shipment Only, Boston, Massachusetts, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Brigham & Women's Hospital, Boston, Massachusetts, United States|Drug Shipment Only, Boston, Massachusetts, United States|Peter MacCallum Cancer Centre, Division of Haematology and Medical Oncology, East Melbourne, Victoria, Australia",,https://ClinicalTrials.gov/show/NCT01121575,2,pf-02341066,pf-00299804,1,1,FALSE,FALSE,FALSE,FALSE,crizotinib,dacomitinib,1,1,TRUE,
166,648,649,NCT00749567,Combination of Erlotinib and Bevacizumab as Second-line Treatment in Patients With Non-small Cell Lung Cancer,,Terminated,No Results Available,Non-small-cell Lung Cancer,Drug: Erlotinib|Drug: Bevacizumab,Overall response rate|Progression Free Survival|Overall Survival|Quality of life assessment|Toxicity profile,Hellenic Oncology Research Group|University Hospital of Crete,All,"18 Years and older   (Adult, Older Adult)",Phase 2,13,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CT/08.15,8-Jul,10-Sep,10-Sep,9-Sep-08,,28-Sep-15,"University Hospital of Heraklion, Heraklion, Crete, Greece|University General Hospital of Alexandroupolis, Dep of Medical Oncology, Alexandroupolis, Greece|""Laikon"" General Hospital, Medical Oncology Unit, Propedeutic Dep of Internal Medicine, Athens, Greece|401 Military Hospital, Medical Oncology Unit, Athens, Greece|Air Forces Military Hospital, Dep of Medical Oncology, Athens, Greece|IASO"" General Hospital of Athens, 1st Dep of Medical Oncology, Athens, Greece|Sismanogleio General Hospital, 1st, 2nd Dep of Pulmonary Diseases, Athens, Greece|Sotiria"" General Hospital, 1st, 3rd, 8th Dep of Pulmonary Diseases, Athens, Greece|""Metaxa's"" Anticancer Hospital of Piraeus,1st Dep of Medical Oncology, Piraeus, Greece|Theagenion"" Anticancer Hospital of Thessaloniki, Thessaloniki, Greece",,https://ClinicalTrials.gov/show/NCT00749567,2,erlotinib,bevacizumab,1,1,FALSE,FALSE,FALSE,FALSE,erlotinib,bevacizumab,1,1,TRUE,
172,678,679,NCT00383331,Pemetrexed and Gemcitabine Every 14 Days Versus Every 21 Days in Advanced Non Small Cell Lung Cancer,,Terminated,Has Results,Non-Small-Cell Lung Cancer,Drug: Pemetrexed|Drug: Gemcitabine,Best Overall Tumor Response|Progression Free Survival|Time to Progressive Disease|Duration of Response|Time to Treatment Failure|Overall Survival,Eli Lilly and Company,All,"18 Years and older   (Adult, Older Adult)",Phase 2,19,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,9431|H3E-US-S061,7-Feb,8-Jan,8-Jan,3-Oct-06,14-May-09,3-Jun-09,"For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Rochester, Minnesota, United States",,https://ClinicalTrials.gov/show/NCT00383331,2,pemetrexed,gemcitabine,1,1,FALSE,FALSE,FALSE,FALSE,pemetrexed,gemcitabine,1,1,TRUE,
173,683,684,NCT01362296,An Open-label Study of GSK1120212 Compared With Docetaxel in Stage IV KRAS-mutant Non-small Cell Lung Cancer,,Completed,Has Results,"Lung Cancer, Non-Small Cell",Drug: GSK1120212|Drug: docetaxel,Progression-Free Survival (PFS) as Assessed by the Investigator (INV)|Number of Participants With the Indicated Worst-case On-therapy Change From Baseline in the Indicated Clinical Chemistry Parameters: Randomized Phase|Number of Participants With the Indicated Worst-case On-therapy Change From Baseline in the Indicated Clinical Chemistry Parameters: Crossover Phase|Number of Participants With the Indicated Worst-case On-therapy Change From Baseline in the Indicated Hematology Parameters: Randomized Phase|Number of Participants With the Indicated Worst-case On-therapy Change From Baseline in the Indicated Hematology Parameters: Crossover Phase|Number of Participants With the Indicated Worst-case On-therapy Change From Baseline With Respect to Normal Ranges in the Indicated Clinical Chemistry Parameters: Randomized Phase|Number of Participants With the Indicated Worst-case On-therapy Change From Baseline With Respect to Normal Ranges in the Indicated Clinical Chemistry Parameters: Crossover Phase|Number of Participants With the Indicated Worst-case On-therapy Change From Baseline With Respect to Normal Ranges in the Indicated Hematology Parameters: Randomized Phase|Number of Participants With the Indicated Worst-case On-therapy Change From Baseline With Respect to Normal Ranges in the Indicated Hematology Parameters: Crossover Phase|Number of Participants With Any Serious Adverse Event (SAE) or Non-serious Adverse Event (AE): Randomized Phase|Number of Participants With Any SAE or Non-serious AE: Crossover Phase|Change From Baseline in Systolic Blood Pressure (SBP) and Diastolic Blood Pressure (DBP): Randomized Phase|Change From Baseline in SBP and DBP: Crossover Phase|Change From Baseline in Heart Rate: Randomized Phase|Change From Baseline in Heart Rate: Crossover Phase|Number of Participants With a Best Response of Either a Complete Response (CR) or Partial Response (PR) as Assessed by the Investigator: Randomized Phase|Number of Participants With a Best Response of Either a CR or PR as Assessed by the Investigator: Crossover Phase|Duration of Response (DOR) as Assessed by the Investigator: Randomized Phase|Overall Survival (OS)|GSK1120212 Plasma Pharmacokinetic (PK) Concentration,GlaxoSmithKline,All,"18 Years and older   (Adult, Older Adult)",Phase 2,134,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,114653,11-Sep,12-Sep,13-Sep,30-May-11,26-May-14,11-Jul-14,"GSK Investigational Site, Scottsdale, Arizona, United States|GSK Investigational Site, Orange, California, United States|GSK Investigational Site, Aurora, Colorado, United States|GSK Investigational Site, Jacksonville, Florida, United States|GSK Investigational Site, Athens, Georgia, United States|GSK Investigational Site, Coeur d'Alene, Idaho, United States|GSK Investigational Site, Indianapolis, Indiana, United States|GSK Investigational Site, Baltimore, Maryland, United States|GSK Investigational Site, Boston, Massachusetts, United States|GSK Investigational Site, Boston, Massachusetts, United States|GSK Investigational Site, Detroit, Michigan, United States|GSK Investigational Site, Minneapolis, Minnesota, United States|GSK Investigational Site, Rochester, Minnesota, United States|GSK Investigational Site, St Louis, Missouri, United States|GSK Investigational Site, Lebanon, New Hampshire, United States|GSK Investigational Site, Durham, North Carolina, United States|GSK Investigational Site, Columbus, Ohio, United States|GSK Investigational Site, Portland, Oregon, United States|GSK Investigational Site, Philadelphia, Pennsylvania, United States|GSK Investigational Site, Philadelphia, Pennsylvania, United States|GSK Investigational Site, Memphis, Tennessee, United States|GSK Investigational Site, Austin, Texas, United States|GSK Investigational Site, Houston, Texas, United States|GSK Investigational Site, Fairfax, Virginia, United States|GSK Investigational Site, Vancouver, Washington, United States|GSK Investigational Site, Marseille cedex 20, France|GSK Investigational Site, Paris Cedex 15, France|GSK Investigational Site, Paris Cedex 20, France|GSK Investigational Site, Paris cedex 5, France|GSK Investigational Site, Strasbourg, France|GSK Investigational Site, Toulouse Cedex 9, France|GSK Investigational Site, Villejuif, France|GSK Investigational Site, Athens, Greece|GSK Investigational Site, Athens, Greece|GSK Investigational Site, Heraklion, Crete, Greece|GSK Investigational Site, Neo Faliro, Greece|GSK Investigational Site, Thessaloniki, Greece|GSK Investigational Site, Budapest, Hungary|GSK Investigational Site, Székesfehérvár, Hungary|GSK Investigational Site, Törökbálint, Hungary|GSK Investigational Site, Genova, Liguria, Italy|GSK Investigational Site, Milano, Lombardia, Italy|GSK Investigational Site, Milano, Lombardia, Italy|GSK Investigational Site, Seoul, Korea, Republic of|GSK Investigational Site, Seoul, Korea, Republic of|GSK Investigational Site, Seoul, Korea, Republic of|GSK Investigational Site, Seoul, Korea, Republic of|GSK Investigational Site, Amsterdam, Netherlands|GSK Investigational Site, Amsterdam, Netherlands|GSK Investigational Site, Breda, Netherlands|GSK Investigational Site, Groningen, Netherlands|GSK Investigational Site, Maastricht, Netherlands|GSK Investigational Site, Zwolle, Netherlands|GSK Investigational Site, Badalona, Spain|GSK Investigational Site, Barcelona, Spain|GSK Investigational Site, Madrid, Spain|GSK Investigational Site, Madrid, Spain|GSK Investigational Site, Madrid, Spain|GSK Investigational Site, Majadahonda (Madrid), Spain|GSK Investigational Site, Pamplona, Spain",,https://ClinicalTrials.gov/show/NCT01362296,2,gsk1120212,docetaxel,1,1,FALSE,FALSE,FALSE,FALSE,trametinib,docetaxel,1,1,TRUE,
174,694,695,NCT00190710,A Trial of Carboplatin and Gemcitabine Versus Gemcitabine Alone in Patients With Non-Small-Cell Lung Cancer,,Completed,No Results Available,Non-Small Cell Lung Cancer,Drug: Gemcitabine|Drug: Carboplatin,To determine and compare the median survival produced by combined Gemcitabine plus Paraplatin versus Gemcitabine as a single-agent in patients with NSCLC and a PS equal to 2.|To determine and compare the 1-year survival produced by combined Paraplatin (carboplatin) + Gemcitabine versus Gemcitabine as a single-agent in patients with NSCLC and a PS equal to 2|To determine the safety of combined Gemcitabine plus Paraplatin versus Gemcitabine as a single-agent in patients with NSCLC and a PS equal to 2|To compare the response rate between treatment groups|To compare the changes in QOL between treatment groups,Eli Lilly and Company,All,"18 Years and older   (Adult, Older Adult)",Phase 3,242,Industry,Interventional,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,9297|B9E-US-S358,4-Mar,,7-Aug,19-Sep-05,,14-Nov-07,"For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Dallas, Texas, United States",,https://ClinicalTrials.gov/show/NCT00190710,2,gemcitabine,carboplatin,1,1,FALSE,FALSE,FALSE,FALSE,gemcitabine,carboplatin,1,1,TRUE,
176,698,699,NCT00874419,Erlotinib Versus Gemcitabine/Carboplatin in Chemo-naive Stage IIIB/IV Non-Small Cell Lung Cancer Patients With Epidermal Growth Factor Receptor (EGFR) Exon 19 or 21 Mutation,ML20981,Completed,No Results Available,Non-small Cell Lung Cancer,Drug: erlotinib|Drug: gemcitabine/carboplatin,Progression free survival|OS|ORR|Time to Progression|lung cancer symptoms and health-related quality of life (HRQoL)|explore the biological markers (tumor tissue),Tongji University|Sun Yat-sen University|Shanghai Chest Hospital|RenJi Hospital|Guangdong Provincial People's Hospital|Peking Union Medical College Hospital,All,"18 Years and older   (Adult, Older Adult)",Phase 3,165,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ML20981,8-Aug,10-Jul,12-Jul,2-Apr-09,,25-Sep-14,"Medical Department, Shanghai Pulmonary Hospital, Shanghai, China",,https://ClinicalTrials.gov/show/NCT00874419,2,erlotinib,gemcitabine/carboplatin,1,1,FALSE,FALSE,FALSE,FALSE,erlotinib,gemcitabine/carboplatin,1,1,TRUE,
182,730,731,NCT01905657,Study of Two Doses of Pembrolizumab (MK-3475) Versus Docetaxel in Previously Treated Participants With Non-Small Cell Lung Cancer (MK-3475-010/KEYNOTE-010),,"Active, not recruiting",Has Results,Non Small Cell Lung Cancer (NSCLC),Biological: Pembrolizumab|Drug: Docetaxel,Overall Survival (OS)|Progression-free Survival (PFS) by Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST 1.1)|Percentage of Participants Experiencing Adverse Events (AEs)|Percentage of Participants Discontinuing Study Drug Due to AEs|Overall Response Rate (ORR) by RECIST 1.1|Duration of Response (DOR) by RECIST 1.1,Merck Sharp & Dohme Corp.,All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,1061,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,3475-010|2012-004391-19|132355|MK-3475-010,9-Aug-13,30-Sep-15,30-Mar-20,23-Jul-13,18-Jan-17,15-Feb-19,,,https://ClinicalTrials.gov/show/NCT01905657,2,pembrolizumab,docetaxel,1,1,FALSE,FALSE,FALSE,FALSE,pembrolizumab,docetaxel,1,1,TRUE,
184,732,733,NCT02831491,A Study of Ramucirumab (LY3009806) in Combination With Weekly Docetaxel in Participants With Stage IV Non-Small Cell Lung Cancer,,Withdrawn,No Results Available,Stage IV Non-small Cell Lung Cancer,Drug: Ramucirumab|Drug: Docetaxel,Percentage of Participants with Grade ≥3 Neutropenia|Rate of Febrile Neutropenia|Objective Response Rate (ORR): Percentage of Participants With a Complete or Partial Response|Progression Free Survival (PFS)|Overall Survival (OS)|Pharmacokinetics (PK): Minimum Concentration (Cmin) of Ramucirumab,Eli Lilly and Company,All,"18 Years and older   (Adult, Older Adult)",Phase 2,0,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,16404|I4T-MC-JVDN|2016-001317-25,16-Nov,17-Jul,18-Jan,13-Jul-16,,13-Dec-16,,,https://ClinicalTrials.gov/show/NCT02831491,2,ramucirumab,docetaxel,1,1,FALSE,FALSE,FALSE,FALSE,ramucirumab,docetaxel,1,1,TRUE,
196,778,779,NCT02633189,Study Comparing Bevacizumab + Erlotinib vs Erlotinib Alone as First Line Treatment of Patients With EGFR Mutated Advanced Non Squamous Non Small Cell Lung Cancer,BEVERLY,Unknown status,No Results Available,Non-squamous Non-small Cell Lung Cancer,Drug: Erlotinib|Drug: Bevacizumab,"progression free survival|overall survival|changes in quality of life scores from baseline|number of patients with complete and partial responses , investigator assessed|number of patients with complete and partial responses , centrally reviewed|worst grade toxicity per patient|progression free survival according to type of EGFR mutation (exon 19del, exon 21L858R, other)","National Cancer Institute, Naples",All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 3,200,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,BEVERLY|2015-002235-17,16-Apr,17-Dec,18-Jul,17-Dec-15,,17-Jul-17,"Ospedale Ramazzini, Day Hospital Oncologico, Carpi, MO, Italy|Casa di Cura La Maddalena S.p.A., Dipartimento Oncologico, Palermo, PA, Italy|Ospedale di Prato, Prato, PO, Italy|Ospedale S. Chiara, Trento, TN, Italy|Ospedale S. Bortolo ULSS 6, U.O. di Oncologia Medica, Vicenza, VI, Italy|A.S.O. SS Antonio e Biagio e Cesare Arrigo, Alessandria, Italy|A.O. S. Giuseppe Moscati, Avellino, Italy|Centro Riferimento Oncologico, Aviano, Italy|AO G. Rummo, Benevento, Italy|Ospedale Senatore Antonio Perrino, Brindisi, Italy|Ospedale A. cardarelli, Campobasso, Italy|U.L.S.S. 15 Veneto, Camposampiero, Italy|A.O. Garibaldi Nesima, Catania, Italy|Centro Clinico Diagnostico G.B. Morgagni, Catania, Italy|Policlinico vittorio Emanuele, Catania, Italy|Ospedale Civile per gli Infermi, Faenza, Italy|Ospedale S. Croce, Fano, Italy|A.O.U. Arcispedale Sant'Anna, Ferrara, Italy|Ospedale Villa Scassi, Genova, Italy|Ospedale di Guastalia, Guastalia, Italy|A.O. Vito Fazzi, Lecce, Italy|Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori, Meldola, Italy|Istituto Europeo di Oncologia, Milano, Italy|Istituto Nazionale Tumori, Milano, Italy|Ospedale San Paolo, Milano, Italy|A.O. U.L.S.S. 13, Mirano, Italy|A.O.U. Policlinico Modena, Modena, Italy|Azienda Ospedaliera Cardarelli, Napoli, Italy|A.O.U. Seconda Università di Napoli, Napoli, Italy|AORN Ospedale dei Colli - Osp Monaldi, Napoli, Italy|Istituto Nazionale Tumori Fondazione G. Pascale, Napoli, Italy|Istituto Sacro Cuore Don Calabria, Negrar, Italy|A.O.U. Maggiore della Carità, Novara, Italy|Istituto Oncologico Veneto, Padova, Italy|Policlinico Giaccone, Palermo, Italy|Fondazione Salvatore Maugeri, Pavia, Italy|Osp. S. Maria della Misericordia, Perugia, Italy|A.O. Ospedali Riuniti Marche Nord, Pesaro, Italy|Ospedale Guglielmo da Saliceto, Piacenza, Italy|A.O. San Carlo, Potenza, Italy|Ospedale Santa Maria delle Croci - AUSL, Ravenna, Italy|Ospedale Umberto I, Ravenna, Italy|Ospedale degli Infermi Rimini - Ospedale Cervesi Cattolica, Rimini, Italy|IRCCS Centro di Riferimento Oncologico Basilicata, Rionero in Vulture, Italy|Istituto Regina Elena, Roma, Italy|Ospedale Camillo Forlanini, Roma, Italy|Ospedale S. Giovanni Calibita Fatebenefratelli, Roma, Italy|Policlinico Universitario Campus Bio Medico, Roma, Italy|Ospedale di Sondrio, Sondrio, Italy|Ospedale Fabrizio Spaziani di Frosinone, Sora, Italy|Ospedale Maggiore, Trieste, Italy|Azienda Ospedaliero-Universitaria S.M. della Misericordia di Udine, Udine, Italy|Ospedale S. Andrea, Vercelli, Italy|A.O.U. Integrata, Verona, Italy|ASL Viterbo - Ospedale Belcolle, Viterbo, Italy",,https://ClinicalTrials.gov/show/NCT02633189,2,erlotinib,bevacizumab,1,1,FALSE,FALSE,FALSE,FALSE,erlotinib,bevacizumab,1,1,TRUE,
209,812,813,NCT04099836,Atezolizumab and Bevacizumab in Epidermal Growth Factor Receptor (EGFR) Mutant Non‐Small Cell Lung Cancer in Patients With Progressive Disease After Receiving Osimertinib,,Not yet recruiting,No Results Available,Non Small Cell Lung Cancer,Drug: Atezolizumab|Drug: Bevacizumab,Objective response rate (ORR) as assessed by the investigator using Response Evaluation Criteria in Solid Tumors RECIST 1.1 (brand name)|Progression free survival as measured by Response Evaluation Criteria In Solid Tumors RECIST 1.1 (brand name) as assessed by the investigator.|Overall survival as noted by follow-up via composite of telephone or medical record review.|AEs as measured by Common Terminology Criteria for Adverse Events (CTCAE) version 4.03,Duke University,All,"18 Years and older   (Adult, Older Adult)",Phase 2,39,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Pro00103723,30-Oct-19,30-Oct-22,30-Oct-24,23-Sep-19,,23-Sep-19,"Duke University Medical Center, Durham, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT04099836,2,atezolizumab,bevacizumab,1,1,FALSE,FALSE,FALSE,FALSE,atezolizumab,bevacizumab,1,1,TRUE,
210,819,820,NCT00701558,A Study of First Line Treatment With Tarceva (Erlotinib) in Combination With Gemcitabine in Patients With Unresectable Advanced and/or Metastatic Non-Small Cell Lung Cancer,,Completed,Has Results,Non-small Cell Lung Cancer Metastatic,Drug: Erlotinib|Drug: Gemcitabine,Time to Disease Progression|Overall Response Rate (ORR)|Overall Survival,Hoffmann-La Roche,All,"18 Years and older   (Adult, Older Adult)",Phase 2,20,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ML20951|2007-002135-83,8-Aug,10-Oct,10-Dec,19-Jun-08,19-May-16,24-Jun-16,"Bucuresti, Romania",,https://ClinicalTrials.gov/show/NCT00701558,2,erlotinib,gemcitabine,1,1,FALSE,FALSE,FALSE,FALSE,erlotinib,gemcitabine,1,1,TRUE,
