,Unnamed: 0,index,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,arms,arm1,arm2,arm1_included,arm2_included,arm1_to_remove,arm2_to_remove,new_arm1,new_arm2,also_arm1_to_remove,also_arm2_to_remove,arm1_has_approved_drugs,arm2_has_approved_drugs,Included,Reason
19,185,737,738,NCT00891579,Study of Pemetrexed Versus Gefitinib in Patients With Locally Advanced or Metastatic Non Small Cell Lung Cancer Who Have Previously Received Platinum-Based Chemotherapy Without Epidermal Growth Factor Receptor (EGFR) Mutations,,Completed,No Results Available,Non Small Cell Lung Cancer,Drug: Pemetrexed (Alimta)|Drug: Gefitinib (IRESSA),Progression free survival (PFS)|Response rate (RR)|Overall survival (OS),Chinese Society of Lung Cancer,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 2,161,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,C-TONG0806,9-Feb,12-Sep,12-Nov,1-May-09,,10-Dec-12,"Lung Cancer Research Institute & Cancer Center of Guangdong General Hospital, Guangzhou, Guangdong, China|307 hospital of People's Liberation Army, Beijing, China|Peking Union Hospital, Beijing, China|Jilin Tumor Hospital, Changchun, China|Nanjing General Hospital of Nanjing Military Command, Nanjing, China|Shanghai Chest Hospital, Shanghai, China|The first hospital of China medical university, Shenyang, China",,https://ClinicalTrials.gov/show/NCT00891579,2.0,pemetrexed (alimta),gefitinib (iressa),1,1,False,False,pemetrexed (alimta),gefitinib (iressa),False,False,1.0,1.0,TRUE,
20,186,743,744,NCT00425191,Taxotere Combinations as First Line Therapy for Locally Advanced Unresectable or Metastatic Non-small Cell Lung Cancer.,,Completed,No Results Available,Non-small Cell Lung Cancer,Drug: Docetaxel and Gemcitabine|Drug: Gemcitabine cisplatin followed by docetaxel,Response Rate|Time to progression.,Sanofi,All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 2,165,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,XRP6976B_2501,2-Jul,5-Apr,,22-Jan-07,,7-Dec-09,"Sanofi-Aventis, Milan, Italy",,https://ClinicalTrials.gov/show/NCT00425191,2.0,docetaxel and gemcitabine,gemcitabine cisplatin followed by docetaxel,1,1,False,False,docetaxel and gemcitabine,gemcitabine cisplatin followed by docetaxel,False,False,1.0,1.0,TRUE,
21,189,749,750,NCT00191191,To Investigate Efficacy and Safety of Pemetrexed as Second or Third Line Therapy in Patients With Non-small Cell Lung Cancer (NSCLC),,Completed,Has Results,Non-small Cell Lung Cancer,Drug: Pemetrexed 500 mg/m2|Drug: Pemetrexed 1000 mg/m2,Best Overall Response|Duration of Response|Progression-Free Survival (PFS)|Change From Baseline to 3 Months in Quality of Life Questionnaire for Cancer Patients Treated With Anticancer Drugs (QOL-ACD)|Change From Baseline to 3 Months in Functional Assessment of Cancer Therapy for Lung Cancer (FACT-L) Lung Cancer Subscale (LCS),Eli Lilly and Company,All,"20 Years to 75 Years   (Adult, Older Adult)",Phase 2,226,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,5250|H3E-JE-NS01,4-Oct,8-Oct,8-Oct,19-Sep-05,25-Nov-09,9-Dec-09,"For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Monday-Friday from 9:00 AM to 5:00 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Chiba, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Monday-Friday from 9:00 AM to 5:00 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Ehime, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Monday-Friday from 9:00 AM to 5:00 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Fukuoka, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Monday-Friday from 9:00 AM to 5:00 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Gifu, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Monday-Friday from 9:00 AM to 5:00 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Gunma, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Monday-Friday from 9:00 AM to 5:00 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Hokkaido, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Monday-Friday from 9:00 AM to 5:00 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Hyogo, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Monday-Friday from 9:00 AM to 5:00 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Kanagawa, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Monday-Friday from 9:00 AM to 5:00 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Kumamoto, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Monday-Friday from 9:00 AM to 5:00 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Miyagi, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Monday-Friday from 9:00 AM to 5:00 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Niigata, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Monday-Friday from 9:00 AM to 5:00 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Okayama, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Monday-Friday from 9:00 AM to 5:00 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Osaka, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Monday-Friday from 9:00 AM to 5:00 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Saitama, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Monday-Friday from 9:00 AM to 5:00 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Shizuoka, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Monday-Friday from 9:00 AM to 5:00 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician, Tokyo, Japan",,https://ClinicalTrials.gov/show/NCT00191191,2.0,pemetrexed 500 mg/m2,pemetrexed 1000 mg/m2,1,1,False,False,pemetrexed 500 mg/m2,pemetrexed 1000 mg/m2,False,False,1.0,1.0,TRUE,
22,191,751,752,NCT00556322,"A Study of Tarceva (Erlotinib) and Standard of Care Chemotherapy in Patients With Advanced, Recurrent, or Metastatic Non-Small Cell Lung Cancer (NSCLC)",,Completed,Has Results,Non-Small Cell Lung Cancer,Drug: Alimta or Taxotere|Drug: erlotinib [Tarceva],Percentage of Participants Who Died (All Participants; Data Cutoff: 07 September 2010)|Duration of Overall Survival in All Participants (Data Cutoff 07 September 2010)|Probable Percentage of Participants Remaining Alive at 1 Year|Percentage of Participants Who Died in Epidermal Growth Factor Receptor (EGFR) Positive and Negative Population|Duration of OS in EGFR Positive and Negative Population|Probable Percentage of Participants Remaining Alive at 1 Year in the EGFR Positive and Negative Population|Percentage of Participants With Disease Progression or Death (All Participants; Data Cut Off 07 September 2010)|Progression-Free Survival (PFS) in All Participants (Data Cutoff 07 September 2010)|Probable Percentage of Participants Remaining Alive and Progression Free at 6 Months|Percentage of Participants With Disease Progression or Death in EGFR Positive and Negative Population (Data Cut Off 07 September 2010)|PFS in EGFR Positive and Negative Population (Data Cutoff 07 September 2010)|Probable Percentage of Participants Remaining Alive and Progression Free at 6 Months in EGFR Positive and Negative Population|Percentage of Participants Achieving a Best Overall Response of Confirmed Complete Response (CR) or Partial Response (PR) as Assessed by the Investigator Using RECIST|Percentage of Participants With Deterioration in Quality of Life Determined Using Functional Assessment of Cancer Therapy - Lung (FACT-L)|Time to Deterioration in Quality of Life Using FACT-L|Probable Percentage of Participants Remaining Without Deterioration in Quality of Life at 6 Months as Assessed by FACT-L|Percentage of Participants With Symptomatic Progression Using FACT-L|Time to Symptomatic Progression Using FACT-L|Probable Percentage of Participants With Symptomatic Progression at 6 Months as Assessed by FACT-L|Percentage of Participants With Deterioration in the Trial Outcome Index (TOI)|Time to Deterioration in the TOI|Probable Percentage of Participants With Deterioration in the TOI at 6 Months as Assessed by FACT-L,Hoffmann-La Roche,All,"18 Years and older   (Adult, Older Adult)",Phase 3,424,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,BO18602,6-Mar,12-Jun,12-Jun,12-Nov-07,23-Feb-15,23-Feb-15,"St. Leonards, New South Wales, Australia|Waratah, New South Wales, Australia|Adelaide, South Australia, Australia|East Bentleigh, Victoria, Australia|Fitzroy, Victoria, Australia|Geelong, Victoria, Australia|Melbourne, Victoria, Australia|Innsbruck, Austria|Klagenfurt, Austria|Wien, Austria|Wien, Austria|Antwerpen, Belgium|Winnipeg, Manitoba, Canada|Oshawa, Ontario, Canada|Sault Ste Marie, Ontario, Canada|Toronto, Ontario, Canada|Laval, Quebec, Canada|Montreal, Quebec, Canada|Santiago, Chile|Beijing, China|Guangzhou, China|Guangzhou, China|Shanghai, China|Ceské Budejovice, Czech Republic|Olomouc, Czech Republic|Plzen, Czech Republic|Herlev, Denmark|Odense, Denmark|Bayonne, France|Brest, France|Clermont-ferrand, France|Dijon, France|Le Mans, France|Lille, France|Limoges, France|Paris, France|PAU, France|Toulouse, France|Vandoeuvre-les-nancy, France|Bad Berka, Germany|Bochum, Germany|Halle (Saale), Germany|Herne, Germany|Neuruppin, Germany|Villingen-Schwenningen, Germany|Athens, Greece|Athens, Greece|Heraklion, Greece|Budapest, Hungary|Budapest, Hungary|Deszk, Hungary|Nyíregyháza, Hungary|Pecs, Hungary|Szombathely, Hungary|Torokbalint, Hungary|Bologna, Emilia-Romagna, Italy|Roma, Lazio, Italy|Ancona, Marche, Italy|Daegu, Korea, Republic of|Seoul, Korea, Republic of|Seoul, Korea, Republic of|Seoul, Korea, Republic of|Seoul, Korea, Republic of|Seoul, Korea, Republic of|Suwon, Korea, Republic of|Kaunas, Lithuania|Klaipeda, Lithuania|Vilnius, Lithuania|Kuala Lumpur, Malaysia|Penang, Malaysia|Auckland, New Zealand|Christchurch, New Zealand|Lodz, Poland|Lodz, Poland|Otwock, Poland|Bucuresti, Romania|Cluj Napoca, Romania|Iasi, Romania|Timisoara, Romania|Arkhangelsk, Russian Federation|Balashikha, Russian Federation|Chelyabinsk, Russian Federation|Kazan, Russian Federation|Kazan, Russian Federation|Kirov, Russian Federation|Krasnodar, Russian Federation|Krasnodar, Russian Federation|Kuzmolovo, Russian Federation|Moscow, Russian Federation|Moscow, Russian Federation|Moscow, Russian Federation|Moscow, Russian Federation|Nizhny Novgorod, Russian Federation|Perm, Russian Federation|Smolensk, Russian Federation|Soshi, Russian Federation|St Petersburg, Russian Federation|St Petersburg, Russian Federation|St Petersburg, Russian Federation|St Petersburg, Russian Federation|Yaroslavl, Russian Federation|Banska Bystrica, Slovakia|Bratislava, Slovakia|Nitra, Slovakia|Poprad, Slovakia|Golnik, Slovenia|Ljubljana, Slovenia|Maribor, Slovenia|Durban, South Africa|Johannesburg, South Africa|Pretoria, South Africa|Oviedo, Asturias, Spain|Santander, Cantabria, Spain|La Coruña, Spain|Zaragoza, Spain|Kharkov, Ukraine|Uzhgorod, Ukraine|Zaporozhye, Ukraine|Chelmsford, United Kingdom|Dundee, United Kingdom|Leicester, United Kingdom|Plymouth, United Kingdom|Caracas, Venezuela",,https://ClinicalTrials.gov/show/NCT00556322,2.0,alimta or taxotere,erlotinib [tarceva],1,1,False,False,alimta or taxotere,erlotinib [tarceva],False,False,1.0,1.0,TRUE,
23,192,758,759,NCT00783471,Docetaxel Intermittent-Erlotinib (Tarceva®) In Metastatic Non Small Cell Lung Cancer (NSCLC),DOPERLO,Terminated,No Results Available,Advanced Non-Small Cell Lung Cancer,"Drug: Erlotinib, Docetaxel|Drug: Docetaxel, Erlotinib","Progression free survival (PFS)|To compare the Overall Survival (OS),the Objective Response Rate (ORR) and duration of response|Identify predictive signaling molecules of the EGFR pathway",Hellenic Cooperative Oncology Group,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,51,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,HE 2D/07,8-Nov,10-May,10-Jun,31-Oct-08,,16-Jun-10,"Sotiria Hospital, Athens, Greece|""Alexandra"" Hospital, Athens, Greece|""Attikon"" University Hospital, 2nd Dept. of Internal Medicine, Propaedeutic, Oncology Section, Athens, Greece|Agii Anargiri Cancer Hospital, 3rd Dept. of Medical Oncology, Athens, Greece|Hygeia Hospital, Athens, Greece|University General Hospital of Ioannina, Medical Oncology Dept, Ioannina, Greece|Larissa University Hospital, Larissa, Greece|Metropolitan Hospital, Second Dept of Medical Oncology, Piraeus, Greece|Metropolitan Hospital, 1st Dept. of Medical Oncology, Pireaus, Greece|Patras University Hospital, Dept. of Internal Medicine, Oncology Section, Rio, Patras, Greece|Theagenio Cancer Hospital, 2nd Dept of Medical Oncology, Thessaloniki, Greece|Theagenio Cancer Hospital, 3rd Dept. of Medical Oncology, Thessaloniki, Greece|""Papageorgiou"" Hospital, Thessaloniki, Greece",,https://ClinicalTrials.gov/show/NCT00783471,2.0,"erlotinib, docetaxel","docetaxel, erlotinib",1,1,False,False,"erlotinib, docetaxel","docetaxel, erlotinib",False,False,1.0,1.0,TRUE,
26,200,792,793,NCT00330044,"Alimta, Carboplatin and Radiation Therapy for Non Small Cell Lung Cancer",,Completed,No Results Available,Inoperable Non Small Cell Lung Cancer,Drug: Premetrexed (Alimta)|Drug: Carboplatin,Response and Progression Free Survival,Sidney Kimmel Cancer Center at Thomas Jefferson University|Eli Lilly and Company|Thomas Jefferson University,All,"18 Years and older   (Adult, Older Adult)",Phase 1,18,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,05C.276|2005-19,6-Apr,9-Aug,9-Oct,25-May-06,,2-Dec-16,"Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT00330044,2.0,premetrexed (alimta),carboplatin,1,1,False,False,premetrexed (alimta),carboplatin,False,False,1.0,1.0,TRUE,
29,226,903,904,NCT00231465,Phase II Study of Docetaxel + ZD1839 in Elderly Patients With Non-Small Cell Lung Cancer,,Completed,Has Results,Non-Small Cell Lung Cancer,Drug: docetaxel (Taxotere®)|Drug: ZD1839,Overall Response Rate (ORR)|Progression Free Survival (PFS) Rate|Overall Survival (OS) Rate,H. Lee Moffitt Cancer Center and Research Institute|AstraZeneca,All,70 Years and older   (Older Adult),Phase 2,44,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MCC-12905|1839US/0205,3-Jul,12-Aug,12-Aug,4-Oct-05,30-Nov-12,3-Mar-17,"H. Lee Moffitt Cancer Center & Research Institute, Tampa, Florida, United States",,https://ClinicalTrials.gov/show/NCT00231465,2.0,docetaxel (taxotere®),zd1839,1,1,False,False,docetaxel (taxotere®),iressa,False,False,1.0,1.0,TRUE,
30,231,920,921,NCT00881296,Gemcitabine and Carboplatin for Elderly Patient With Lung Cancer,GEEP,Completed,No Results Available,Non-Small Cell Lung Cancer,Drug: gemcitabine and carboplatin|Drug: Gemcitabine,Efficacy (response rate)|The toxicity profile (adverse event profile),Hamamatsu University,All,76 Years and older   (Older Adult),Phase 2,60,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Hamamatsu 20-34,8-Mar,11-Mar,11-Jun,15-Apr-09,,7-Sep-11,"Hamamatsu University School of Medicine, Hamamatsu, Shizuoka, Japan",,https://ClinicalTrials.gov/show/NCT00881296,2.0,gemcitabine and carboplatin,gemcitabine,1,1,False,False,gemcitabine and carboplatin,gemcitabine,False,False,1.0,1.0,TRUE,
32,256,1079,1080,NCT00004096,Carboplatin Plus Vinorelbine in Treating Patients With Stage IIIB or Stage IV Non-small Cell Lung Cancer,,Completed,No Results Available,Lung Cancer,Drug: carboplatin|Drug: vinorelbine ditartrate,,Northwestern University|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,,Other|NIH,Interventional,Primary Purpose: Treatment,NU 99L2|NU-99L2|NCI-G99-1589,Aug-99,2-Mar,2-Mar,5-Aug-04,,6-Jun-12,"Robert H. Lurie Comprehensive Cancer Center, Northwestern University, Chicago, Illinois, United States",,https://ClinicalTrials.gov/show/NCT00004096,2.0,carboplatin,vinorelbine ditartrate,1,1,False,False,carboplatin,vinorelbine ditartrate,False,False,1.0,1.0,TRUE,
33,262,1103,1104,NCT00004159,Gemcitabine Plus Paclitaxel in Treating Patients With Advanced Non-small Cell Lung Cancer or Other Solid Tumor,,Terminated,No Results Available,Lung Cancer,Drug: gemcitabine hydrochloride|Drug: paclitaxel,,University of Alabama at Birmingham|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,54,Other|NIH,Interventional,Primary Purpose: Treatment,CDR0000067399|UAB-9720|UAB-F970730006|NCI-G99-1624,Feb-00,Feb-00,Feb-00,26-Jul-04,,20-Nov-13,"University of Alabama Comprehensive Cancer Center, Birmingham, Alabama, United States",,https://ClinicalTrials.gov/show/NCT00004159,2.0,gemcitabine hydrochloride,paclitaxel,1,1,False,False,gemcitabine hydrochloride,paclitaxel,False,False,1.0,1.0,TRUE,
34,264,1124,1125,NCT00003447,Vinorelbine and/or Gemcitabine in Treating Older Patients With Stage IIIB or Stage IV Non-small Cell Lung Cancer,,Unknown status,No Results Available,Lung Cancer,Drug: gemcitabine hydrochloride|Drug: vinorelbine tartrate,,Istituto Nazionale per lo Studio e la Cura dei Tumori|National Cancer Institute (NCI),All,70 Years and older   (Older Adult),Phase 3,630,Other,Interventional,Allocation: Randomized|Primary Purpose: Treatment,CDR0000066476|ITA-MILES|ITA-GOCSI-MILES|EU-98019,Jul-98,,,21-May-04,,19-Dec-13,"Istituto Nazionale per lo Studio e la Cura dei Tumori, Naples, Italy",,https://ClinicalTrials.gov/show/NCT00003447,2.0,gemcitabine hydrochloride,vinorelbine tartrate,1,1,False,False,gemcitabine hydrochloride,vinorelbine tartrate,False,False,1.0,1.0,TRUE,
35,272,1167,1168,NCT00022646,Pemetrexed Disodium Plus Gemcitabine in Treating Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer,,Completed,No Results Available,Lung Cancer,Drug: gemcitabine hydrochloride|Drug: pemetrexed disodium,tumor response rate|duration of response|time to treatment failure|survival|time to disease progression,Alliance for Clinical Trials in Oncology|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 2,157,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NCCTG-N0026|NCI-2012-02399|CDR0000068838,1-Aug,3-Nov,8-Oct,27-Jan-03,,7-Dec-16,"CCOP - Scottsdale Oncology Program, Scottsdale, Arizona, United States|Mayo Clinic, Jacksonville, Florida, United States|CCOP - Illinois Oncology Research Association, Peoria, Illinois, United States|CCOP - Carle Cancer Center, Urbana, Illinois, United States|CCOP - Cedar Rapids Oncology Project, Cedar Rapids, Iowa, United States|CCOP - Iowa Oncology Research Association, Des Moines, Iowa, United States|Siouxland Hematology-Oncology, Sioux City, Iowa, United States|CCOP - Wichita, Wichita, Kansas, United States|CCOP - Ann Arbor Regional, Ann Arbor, Michigan, United States|CCOP - Duluth, Duluth, Minnesota, United States|Mayo Clinic Cancer Center, Rochester, Minnesota, United States|CentraCare Health Plaza, Saint Cloud, Minnesota, United States|CCOP - Metro-Minnesota, Saint Louis Park, Minnesota, United States|CCOP - Missouri Valley Cancer Consortium, Omaha, Nebraska, United States|Medcenter One Health System, Bismarck, North Dakota, United States|CCOP - Merit Care Hospital, Fargo, North Dakota, United States|Altru Health Systems, Grand Forks, North Dakota, United States|CCOP - Toledo Community Hospital, Toledo, Ohio, United States|CCOP - Geisinger Clinic and Medical Center, Danville, Pennsylvania, United States|Allegheny General Hospital, Pittsburgh, Pennsylvania, United States|Rapid City Regional Hospital, Rapid City, South Dakota, United States|CCOP - Sioux Community Cancer Consortium, Sioux Falls, South Dakota, United States",,https://ClinicalTrials.gov/show/NCT00022646,2.0,gemcitabine hydrochloride,pemetrexed disodium,1,1,False,False,gemcitabine hydrochloride,pemetrexed disodium,False,False,1.0,1.0,TRUE,
36,275,1189,1190,NCT00095225,A Study to Evaluate Bevacizumab and Chemotherapy or Tarceva in Treating Recurrent or Refractory NSCLC (Non-Small Cell Lung Cancer),,Completed,No Results Available,"Non-Small-Cell Lung Carcinoma|Neoplasm Recurrence, Local",Drug: Avastin (bevacizumab)|Drug: Tarceva (erlotinib HCl),To evaluate the safety and preliminary efficacy of combining bevacizumab with chemotherapy or Tarceva relative to chemotherapy alone on patients with previously treated advanced non-small cell lung cancer.,"Genentech, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 2,122,Industry,Interventional,Primary Purpose: Treatment,OSI2950g,4-Jul,,6-Nov,2-Nov-04,,29-Jan-08,"Comprehensive Blood and Cancer Center (TORI), Bakersfield, California, United States|Bay Area Cancer Research Group, Concord, California, United States|Virginia K. Crosson Cancer Center (TORI), Fullerton, California, United States|California Cancer Center, Inc, Greenbrae, California, United States|Wilshire Oncology Medical Group (TORI), Laverne, California, United States|Pacific Shores Medical Group (TORI), Long Beach, California, United States|UCLA Medical Center PVUB 3360, Los Angeles, California, United States|Central Hematology Oncology Medical Group (TORI), Monterey Park, California, United States|North Valley Hematology/Oncology Medical Group (TORI), Northridge, California, United States|Ventura County Hematology-Oncology Specialists (TORI), Oxnard, California, United States|Cancer Care Associates Medical Group (TORI), Redondo Beach, California, United States|UC Davis Cancer Center, Sacramento, California, United States|Kaiser Permanente/ San Diego, San Diego, California, United States|Sansum Santa Barbara Medical Foundation Clinic (TORI), Santa Barbara, California, United States|Santa Barbara Hematology Oncology Medical Group, Inc (TORI), Santa Barbara, California, United States|Kaiser Permanente Northern CA, Vallejo, California, United States|San Diego Cancer Center Medical Group (TORI), Vista, California, United States|Comprehensive Cancer Care Specialist at Boca Raton, Boca Raton, Florida, United States|Florida Cancer Specialists, Fort Myers, Florida, United States|The Florida Cancer Institute(TORI), Orlando, Florida, United States|MD Anderson Cancer Ctr- Orlando, Orlando, Florida, United States|Hematology and Oncology of Northeast Georgia, PC (TORI), Athens, Georgia, United States|Medical Oncology Associates, PC (TORI), Augusta, Georgia, United States|Suburban Hematology-Oncology Associates (TORI), Lawrenceville, Georgia, United States|WellStar Cancer Research Office, Marietta, Georgia, United States|Atlanta Cancer Care (TORI), Roswell, Georgia, United States|Rush-Presbyteriam, Chicago, Illinois, United States|University of Chicago, Chicago, Illinois, United States|Loyola Univ. Medical Center, Maywood, Illinois, United States|Hematology Oncology Consultants, Naperville, Illinois, United States|Oncoloy Hematology Associates of Central Illinois, PC (TORI), Peoria, Illinois, United States|Norton Healthcare Louisville Oncology, Louisville, Kentucky, United States|Ochsner Cancer Inst., New Orleans, Louisiana, United States|Maine Center for Cancer Medicine and Blood Disorders, Scarborough, Maine, United States|Methodist Cancer Center-Oncology Research, Omaha, Nebraska, United States|Comprehensive Cancer Centers of Nevada (TORI), Las Vegas, Nevada, United States|Summit Medical Group Overlook Oncology Center, Summit, New Jersey, United States|Cancer Research of Long Island, Great Neck, New York, United States|Northwestern Carolina Oncology and Hematology, Hickory, North Carolina, United States|Mid Dakota Clinic, Bismarck, North Dakota, United States|Earle A. Chiles Research Institute, Portland, Oregon, United States|Kaiser Permanente Northwest Region, Portland, Oregon, United States|Univ. of Pittsburgh Cancer Center Inst., Pittsburgh, Pennsylvania, United States|University of Tenn. Cancer Ins, Memphis, Tennessee, United States|The West Cancer Clinic, Memphis, Tennessee, United States|M.D. Anderson, Houston, Texas, United States|Virginia Mason Medical Center, Seattle, Washington, United States|Internal Medicine Associates of Yakima, Yakima, Washington, United States",,https://ClinicalTrials.gov/show/NCT00095225,2.0,avastin (bevacizumab),tarceva (erlotinib hcl),1,1,False,False,avastin (bevacizumab),tarceva (erlotinib hcl),False,False,1.0,1.0,TRUE,
37,283,1222,1223,NCT00003762,Docetaxel and Gemcitabine in Treating Patients With Stage IIIB or Stage IV Non-small Cell Lung Cancer,,Completed,No Results Available,Lung Cancer,Drug: docetaxel|Drug: gemcitabine hydrochloride,response rate|quality of life,Alliance for Clinical Trials in Oncology|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 2,106,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NCCTG-982452|NCI-2012-02294|CDR0000066887,Feb-99,3-Feb,8-May,24-Jun-04,,13-Jul-16,"CCOP - Scottsdale Oncology Program, Scottsdale, Arizona, United States|CCOP - Carle Cancer Center, Urbana, Illinois, United States|CCOP - Cedar Rapids Oncology Project, Cedar Rapids, Iowa, United States|CCOP - Iowa Oncology Research Association, Des Moines, Iowa, United States|Siouxland Hematology-Oncology, Sioux City, Iowa, United States|CCOP - Wichita, Wichita, Kansas, United States|CCOP - Ann Arbor Regional, Ann Arbor, Michigan, United States|CCOP - Duluth, Duluth, Minnesota, United States|Mayo Clinic Cancer Center, Rochester, Minnesota, United States|CentraCare Clinic, Saint Cloud, Minnesota, United States|CCOP - Metro-Minnesota, Saint Louis Park, Minnesota, United States|CCOP - Missouri Valley Cancer Consortium, Omaha, Nebraska, United States|Quain & Ramstad Clinic, P.C., Bismarck, North Dakota, United States|CCOP - Merit Care Hospital, Fargo, North Dakota, United States|Altru Health Systems, Grand Forks, North Dakota, United States|CCOP - Geisinger Clinical and Medical Center, Danville, Pennsylvania, United States|Rapid City Regional Hospital, Rapid City, South Dakota, United States",,https://ClinicalTrials.gov/show/NCT00003762,2.0,docetaxel,gemcitabine hydrochloride,1,1,False,False,docetaxel,gemcitabine hydrochloride,False,False,1.0,1.0,TRUE,
